|Departamento|REGION|AÑO|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Total_x|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro
111|MAGDALENA|CARIBE|2016|401144.568|1818.7934999999998|12884130|0.004513545581984629|0.00014116541047008992|0.14116541047008993
112|MAGDALENA|CARIBE|2017|527955.2100000003|3469.256699999998|17504856|0.0065282216333454254|0.00019818824559310845|0.19818824559310846
113|MAGDALENA|CARIBE|2018|607151.2320000001|8278.040850000003|21000198|0.013450840275544754|0.00039418870479221213|0.39418870479221213
114|MAGDALENA|CARIBE|2019|602363.3579999998|14743.658940000001|22703256|0.02389157558620582|0.0006494072453748484|0.6494072453748484
115|MAGDALENA|CARIBE|2020|708103.6680000001|20738.790000000008|23421420|0.028454420804337945|0.0008854625381381661|0.8854625381381661
116|MAGDALENA|CARIBE|2021|634484.058|14950.320000000003|22167276|0.02302052448476943|0.0006744319870425218|0.6744319870425218
117|META|CARIBE|2018|961.6200000000001|138.87|80121|0.12618924297358447|0.0017332534541505973|1.7332534541505973
118|META|CARIBE|2019|11256.900000000005|2015.1090000000002|956556|0.15183149740178742|0.0021066294080012045|2.1066294080012047
119|META|CARIBE|2020|14265.360000000002|2692.2599999999998|953964|0.15876402466855605|0.0028221819691309105|2.8221819691309107
120|META|CARIBE|2021|12621.0|2661.93|961848|0.17417667947180285|0.0027675162811587693|2.7675162811587692
121|META|CENTRO ORIENTE|2020|8207.34|724.5600000000001|211731|0.0811204782856951|0.003422078014083909|3.4220780140839087
122|META|EJE CAFETERO|2020|8207.34|724.5600000000001|211731|0.0811204782856951|0.003422078014083909|3.4220780140839087
123|META|LLANO |2017|317175.75|21472.398195|14085900|0.06340621766115723|0.0015243895097224885|1.5243895097224884
124|META|LLANO |2018|465487.64999999985|74024.48559600003|21592164|0.13720634015808572|0.0034283032305608657|3.4283032305608656
125|META|LLANO |2019|1955648.6100000006|102456.54504|24689520|0.049781977752253716|0.004149798985156455|4.149798985156456
126|META|LLANO |2020|611184.7800000003|125081.73|25193643|0.16988648580525542|0.004964813147507091|4.964813147507091
127|META|LLANO |2021|520432.8600000002|112314.81000000007|23531742|0.17750331660644444|0.004772906740180989|4.772906740180989
128|NARINO|PACIFICO|2018|265848.35999999987|3230.904510000001|10609110|0.012007259332611748|0.0003045405797470288|0.3045405797470288
129|NARINO|PACIFICO|2019|366550.37999999995|8170.9212|14138928|0.021805328850624736|0.0005779024548395748|0.5779024548395748
130|NARINO|PACIFICO|2020|414538.56|10730.43|14133204|0.025232100746400532|0.0007592354854568009|0.7592354854568009
131|NARINO|PACIFICO|2021|342311.90999999986|5735.490000000001|14132412|0.016479048543388063|0.00040583942783439943|0.4058394278343994
132|NORTE DE SANTANDER|CENTRO ORIENTE|2018|23544.0|646.3995000000001|1050525|0.02672132388718922|0.0006153109159705863|0.6153109159705863
133|NORTE DE SANTANDER|CENTRO ORIENTE|2019|644706.81|13202.482199999997|26330841|0.020067328971524134|0.000501407539546496|0.501407539546496
134|NORTE DE SANTANDER|CENTRO ORIENTE|2020|1071630.84|28156.22999999999|37421604|0.0256015284849639|0.0007524057493633889|0.7524057493633889
135|NORTE DE SANTANDER|CENTRO ORIENTE|2021|958063.9800000003|29944.55999999999|37940580|0.030307997135328387|0.0007892488728427449|0.7892488728427449
136|QUINDIO|EJE CAFETERO|2017|37380.18|1315.164|1750188|0.03398765494887447|0.000751441559421045|0.7514415594210451
137|QUINDIO|EJE CAFETERO|2018|469704.5999999995|12306.840000000002|21254976|0.025532257076720032|0.0005790098280986063|0.5790098280986063
138|QUINDIO|EJE CAFETERO|2019|474094.74000000017|6365.820000000002|21613968|0.01324941218900465|0.0002945234304038945|0.2945234304038945
139|QUINDIO|EJE CAFETERO|2020|555764.0399999996|4376.220000000003|22348284|0.007812721763652565|0.00019581906154405427|0.19581906154405426
140|QUINDIO|EJE CAFETERO|2021|472128.96000000037|11160.36|21391698|0.023092502851087195|0.0005217145455213513|0.5217145455213513
141|RISARALDA|EJE CAFETERO|2016|288954.54000000015|269.97474|11016792|0.0009334434885047528|2.4505749042007873e-05|0.024505749042007873
142|RISARALDA|EJE CAFETERO|2017|492821.3700000001|542.4137100000002|17941026|0.0010994193897273005|3.023314887342564e-05|0.030233148873425642
143|RISARALDA|EJE CAFETERO|2018|633635.4|1515.5032200000003|22685490|0.0023860522158071604|6.680495858806666e-05|0.06680495858806666
144|RISARALDA|EJE CAFETERO|2019|709133.0999999999|4406.26965|24954372|0.006175229899593811|0.00017657305301051055|0.17657305301051054
145|RISARALDA|EJE CAFETERO|2020|810073.9440000003|9290.159999999996|25229124|0.011338256038612101|0.0003682315723685054|0.3682315723685054
146|RISARALDA|EJE CAFETERO|2021|641494.0140000004|14125.739999999994|25598034|0.02154562902325238|0.0005518290975002219|0.5518290975002219
147|SANTANDER|CENTRO ORIENTE|2016|1058557.71|10149.047609999996|26834049|0.009496569136230407|0.000378215289463025|0.378215289463025
148|SANTANDER|CENTRO ORIENTE|2017|2115821.82|18690.12915|49417740|0.008756160469114609|0.0003782068777325714|0.3782068777325714
149|SANTANDER|CENTRO ORIENTE|2018|1430536.881|45523.34528999999|52692012|0.0308411164254595|0.0008639515471529155|0.8639515471529154
150|SANTANDER|CENTRO ORIENTE|2019|1178274.12|60691.9293|54227520|0.04898595028837971|0.0011192090160125339|1.1192090160125339
151|SANTANDER|CENTRO ORIENTE|2020|1271360.5680000002|66688.74|56111256|0.04984027090876086|0.0011885091290774173|1.1885091290774172
152|SANTANDER|CENTRO ORIENTE|2021|1128061.428|64957.865999999995|56231982|0.054448294614085256|0.0011551765328136575|1.1551765328136574
153|SUCRE|CARIBE|2017|58769.729999999996|111.77697|3235680|0.0018983374535055657|3.454512498145676e-05|0.03454512498145676
154|SUCRE|CARIBE|2018|242609.02199999988|7529.560049999998|13183848|0.03010155405972088|0.0005711200591815074|0.5711200591815074
155|SUCRE|CARIBE|2019|273325.16400000016|36566.35110000002|15866988|0.11799726458531874|0.0023045552879979504|2.3045552879979505
156|SUCRE|CARIBE|2020|333888.17400000023|11570.519999999999|15824151|0.03349320830813999|0.0007311937303934978|0.7311937303934979
157|SUCRE|CARIBE|2021|251491.10099999997|5864.520000000001|12385752|0.022787611854803835|0.0004734892156729766|0.4734892156729766
158|TOLIMA|CENTRO SUR|2017|441436.80599999987|1358.6709899999996|18902736|0.0030683940116910543|7.18769489242192e-05|0.07187694892421921
159|TOLIMA|CENTRO SUR|2018|460520.3700000001|6893.6654400000025|19066860|0.014748520406561287|0.0003615522136314004|0.3615522136314004
160|TOLIMA|CENTRO SUR|2019|497595.23999999964|16892.713920000002|21235317|0.032834031956026584|0.0007955009063438988|0.7955009063438988
161|TOLIMA|CENTRO SUR|2020|662804.8679999998|28388.250000000004|25221063|0.04107137247277976|0.001125577062314939|1.125577062314939
162|TOLIMA|CENTRO SUR|2021|603441.1499999998|23395.35|23827401|0.03732289041879343|0.0009818674726630907|0.9818674726630907
163|VALLE DEL CAUCA|CARIBE|2018|10536.0|154.38599999999997|550950|0.014441573952521448|0.00028021780560849433|0.28021780560849435
164|VALLE DEL CAUCA|CARIBE|2019|66116.45999999999|712.4399999999999|3309150|0.010660657290483608|0.0002152939576628439|0.2152939576628439
165|VALLE DEL CAUCA|CARIBE|2020|116939.76000000004|1794.5700000000004|4633344|0.015114162854163574|0.0003873163745234544|0.3873163745234544
166|VALLE DEL CAUCA|CARIBE|2021|97254.00000000006|2080.83|4034826|0.020947637399691514|0.0005157174064011682|0.5157174064011683
167|VALLE DEL CAUCA|EJE CAFETERO|2019|8948.7|3.522|513660|0.0003934218789480421|6.856675622006774e-06|0.006856675622006775
168|VALLE DEL CAUCA|EJE CAFETERO|2020|24135.839999999986|2.550000000000001|1241748|0.00010564084845758159|2.0535567603088557e-06|0.0020535567603088556
169|VALLE DEL CAUCA|EJE CAFETERO|2021|11338.740000000002|3.719999999999999|624330|0.00032797118085494667|5.958387391283454e-06|0.0059583873912834534
170|VALLE DEL CAUCA|PACIFICO|2016|26135.519999999993|258.9126|1617108|0.009809364115673397|0.00016010841576443873|0.16010841576443874
171|VALLE DEL CAUCA|PACIFICO|2017|2369184.7500000005|3183.2423040000003|96702732|0.0013417995497859055|3.291781150505655e-05|0.03291781150505655
172|VALLE DEL CAUCA|PACIFICO|2018|2301981.899999999|32305.63464|98686521|0.013839612370196834|0.0003273561000291012|0.3273561000291012
173|VALLE DEL CAUCA|PACIFICO|2019|3062063.513999999|97409.38962|120442140|0.030830898884555136|0.0008087650187882746|0.8087650187882746
174|VALLE DEL CAUCA|PACIFICO|2020|7184931.947999999|177694.55999999988|137847132|0.024134669850076267|0.0012890696920701977|1.2890696920701976
175|VALLE DEL CAUCA|PACIFICO|2021|5994691.95|147590.97|137467086|0.024028683133338963|0.0010736458762208724|1.0736458762208723
