|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|AÑO
3923|2018-06|ATLANTICO-BARRANQUILLA|33655.0|2442.6127|0.06766687648571287|2018
5826|2019-05|VALLE DEL CAUCA-CALI|56308.52|2432.5847999999996|0.041411968812680555|2019
6607|2019-10|META-VILLAVICENCIO|11766.77|2428.2599999999998|0.17106409778633788|2019
7598|2020-04|META-VILLAVICENCIO|12390.77|2400.0499999999997|0.1622661894337163|2020
5665|2019-04|VALLE DEL CAUCA-CALI|56308.97|2371.4905|0.04041363138245992|2019
3609|2018-04|ATLANTICO-BARRANQUILLA|33655.0|2362.1048|0.06558286161857185|2018
6094|2019-07|CUNDINAMARCA-SOACHA|12520.37|2361.6456000000003|0.15869124609706767|2019
6113|2019-07|META-VILLAVICENCIO|11766.77|2357.4211200000004|0.16690662849087815|2019
4731|2018-11|ATLANTICO-BARRANQUILLA|32761.0|2338.1888|0.06661660511082808|2018
4553|2018-10|ANTIOQUIA-MEDELLIN|52571.52|2331.8145700000005|0.04247127407219704|2018
6277|2019-08|META-VILLAVICENCIO|11766.77|2317.42|0.1645405238071909|2019
4229|2018-08|ANTIOQUIA-MEDELLIN|52571.52|2306.916239999999|0.04203684357752391|2018
4243|2018-08|ATLANTICO-BARRANQUILLA|32761.0|2295.692|0.06548512905895398|2018
4645|2018-10|META-VILLAVICENCIO|11600.5|2290.6135730000005|0.16489776438458037|2018
4567|2018-10|ATLANTICO-BARRANQUILLA|32761.0|2281.3325999999997|0.0651021901435865|2018
4083|2018-07|ATLANTICO-BARRANQUILLA|32761.0|2256.4607|0.06443815898963799|2018
5608|2019-04|CUNDINAMARCA-SOACHA|12427.26|2248.9974000000007|0.15324052574875122|2019
3909|2018-06|ANTIOQUIA-MEDELLIN|53775.77|2240.5218999999997|0.039997683245434526|2018
6442|2019-09|META-VILLAVICENCIO|11766.77|2237.0|0.15974269785921932|2019
