|AÑO|REGION|AUX_LOC|Departamento|Municipio|Total population|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
189|2018|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|37676|7708.590000000001|67.69290000000001|0.8705045954539539|0.0017967114343348553|1.7967114343348554|0.20460213398449945|204.60213398449946
190|2018|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|2346|7708.590000000001|67.69290000000001|0.8705045954539539|0.028854603580562663|28.854603580562664|3.2858439897698215|3285.8439897698213
191|2018|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|40022|7708.590000000001|67.69290000000001|0.8705045954539539|0.001691392234271151|1.691392234271151|0.1926088151516666|192.60881515166662
192|2019|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|39262|14676.660000000005|35.126999999999995|0.2387677309357455|0.0008946818806988945|0.8946818806988945|0.37381335642606095|373.813356426061
193|2019|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|2563|14676.660000000005|35.126999999999995|0.2387677309357455|0.013705423332032772|13.705423332032773|5.726359734685917|5726.359734685917
194|2019|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|41825|14676.660000000005|35.126999999999995|0.2387677309357455|0.0008398565451285115|0.8398565451285115|0.35090639569635396|350.90639569635397
195|2020|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|40562|23997.749999999993|268.53|1.106597302924058|0.006620235688575513|6.620235688575513|0.5916313298160838|591.6313298160838
196|2020|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|2764|23997.749999999993|268.53|1.106597302924058|0.09715267727930535|97.15267727930535|8.682253979739505|8682.253979739506
197|2020|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|43326|23997.749999999993|268.53|1.106597302924058|0.006197895028389419|6.19789502838942|0.5538879656557262|553.8879656557261
198|2021|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|41404|2805.87|89.88|3.103859103859104|0.0021708047531639454|2.1708047531639454|0.0677680900396097|67.76809003960969
199|2021|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|2831|2805.87|89.88|3.103859103859104|0.03174849876368774|31.74849876368774|0.9911232779936417|991.1232779936418
200|2021|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|44235|2805.87|89.88|3.103859103859104|0.0020318752119362496|2.0318752119362498|0.06343099355713801|63.43099355713801
201|2016|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|407358|268496.37|224.74235099999999|0.08363405057152505|0.0005517072231305142|0.5517072231305142|0.659116477398259|659.116477398259
202|2016|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|56565|268496.37|224.74235099999999|0.08363405057152505|0.003973169822328294|3.9731698223282943|4.746687350835322|4746.687350835322
203|2016|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|463923|268496.37|224.74235099999999|0.08363405057152505|0.0004844389068875654|0.48443890688756536|0.5787520127262498|578.7520127262497
204|2017|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|417446|423880.7880000002|1204.5579600000003|0.28336849798471936|0.0028855419862688836|2.8855419862688834|1.015414659620646|1015.4146596206459
205|2017|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|57150|423880.7880000002|1204.5579600000003|0.28336849798471936|0.021077129658792656|21.077129658792657|7.41698666666667|7416.98666666667
206|2017|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|474596|423880.7880000002|1204.5579600000003|0.28336849798471936|0.00253807019022495|2.53807019022495|0.8931402455983619|893.140245598362
207|2018|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|431794|428933.70000000024|7495.738469999998|1.7175144042248767|0.017359524379681048|17.359524379681048|0.9933757764119007|993.3757764119007
208|2018|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|58281|428933.70000000024|7495.738469999998|1.7175144042248767|0.12861375868636432|128.61375868636432|7.359751891697127|7359.751891697127
209|2018|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|490075|428933.70000000024|7495.738469999998|1.7175144042248767|0.015295084364638062|15.295084364638061|0.8752409325103305|875.2409325103305
210|2019|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|451803|426611.55599999987|5968.046910000003|1.3796413122237947|0.013209400800791502|13.209400800791503|0.9442424153890078|944.2424153890078
211|2019|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|61882|426611.55599999987|5968.046910000003|1.3796413122237947|0.09644237274166967|96.44237274166967|6.89395229630587|6893.95229630587
212|2019|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|513685|426611.55599999987|5968.046910000003|1.3796413122237947|0.011618106251885888|11.618106251885889|0.8304925314151667|830.4925314151667
213|2020|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|468165|508525.33799999993|15237.479999999996|2.909232858144581|0.03254724295921309|32.54724295921309|1.0862096440357565|1086.2096440357566
214|2020|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|64791|508525.33799999993|15237.479999999996|2.909232858144581|0.23517896004074634|235.17896004074635|7.848703338426632|7848.703338426632
215|2020|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|532956|508525.33799999993|15237.479999999996|2.909232858144581|0.02859050278071735|28.590502780717348|0.9541600770044806|954.1600770044806
216|2021|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|477763|465712.9379999999|9343.74|1.9668684670084782|0.019557270027189214|19.557270027189215|0.9747781598826194|974.7781598826194
217|2021|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|66371|465712.9379999999|9343.74|1.9668684670084782|0.1407804613460698|140.7804613460698|7.0168136384866875|7016.8136384866875
218|2021|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|544134|465712.9379999999|9343.74|1.9668684670084782|0.01717176283783039|17.17176283783039|0.8558791363891981|855.8791363891982
219|2017|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|58519|8650.512|297.75000000000006|3.327461802079555|0.005088091047352143|5.088091047352143|0.14782398878996567|147.82398878996565
220|2017|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|45871|8650.512|297.75000000000006|3.327461802079555|0.006491029190556126|6.491029190556127|0.1885834623182403|188.5834623182403
221|2017|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|104390|8650.512|297.75000000000006|3.327461802079555|0.0028522847015997705|2.8522847015997703|0.08286724782067248|82.86724782067247
222|2018|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|59224|50072.67000000001|2576.5799999999995|4.8938588868787285|0.043505673375658506|43.5056733756585|0.8454793664730517|845.4793664730516
223|2018|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|46591|50072.67000000001|2576.5799999999995|4.8938588868787285|0.05530209697151809|55.30209697151809|1.0747283810177934|1074.7283810177935
224|2018|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|105815|50072.67000000001|2576.5799999999995|4.8938588868787285|0.02434985588054623|24.34985588054623|0.47320956386145646|473.20956386145645
225|2019|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|59783|49785.65700000002|4592.5530000000035|8.445575902553617|0.07682038372112479|76.82038372112478|0.8327728116688694|832.7728116688694
226|2019|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|47451|49785.65700000002|4592.5530000000035|8.445575902553617|0.09678516785736872|96.78516785736872|1.0492014288423852|1049.2014288423852
227|2019|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|107234|49785.65700000002|4592.5530000000035|8.445575902553617|0.04282739616166518|42.82739616166518|0.4642711919726954|464.2711919726954
228|2020|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|60220|56456.351999999984|5469.720000000002|8.832660983244672|0.09082896047824647|90.82896047824647|0.9375016937894385|937.5016937894385
229|2020|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|48189|56456.351999999984|5469.720000000002|8.832660983244672|0.11350557181099426|113.50557181099425|1.1715609786465788|1171.5609786465789
230|2020|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|108409|56456.351999999984|5469.720000000002|8.832660983244672|0.050454482561410975|50.45448256141098|0.5207718178380022|520.7718178380022
231|2021|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|60468|54777.47400000001|4476.899999999999|7.555391607039841|0.07403750744195274|74.03750744195274|0.9058919428458029|905.8919428458029
232|2021|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|48831|54777.47400000001|4476.899999999999|7.555391607039841|0.09168151379246788|91.68151379246788|1.1217766173127728|1121.7766173127727
233|2021|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|109299|54777.47400000001|4476.899999999999|7.555391607039841|0.040960118573820425|40.960118573820424|0.5011708615815333|501.17086158153336
234|2021|CARIBE|CORDOBA-CHINU|CORDOBA|CHINU|20027|4647.42|187.17000000000004|3.8714761748152386|0.009345883057871875|9.345883057871875|0.23205772207519848|232.05772207519848
235|2021|CARIBE|CORDOBA-CHINU|CORDOBA|CHINU|29065|4647.42|187.17000000000004|3.8714761748152386|0.006439704111474283|6.439704111474283|0.1598974711852744|159.89747118527438
