|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total population_x|Departamento|Municipio|REGION|DP|DPNOM|DPMP|MPIO|ÁREA GEOGRÁFICA|Tasa_de_aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
38|2020-06|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|112066.8600000001|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|38.744591655584095|0.014471527791677522|14.471527791677522|0.02287956347886836|14.471527791677522
39|2019-12|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|105330.2699999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|38.07872380892399|0.013872258596254275|13.872258596254275|0.022558212828849587|13.872258596254275
40|2019-12|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|105330.2699999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|38.07872380892399|0.013872258596254275|13.872258596254275|0.022558212828849587|13.872258596254275
41|2019-12|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|105330.2699999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|38.07872380892399|0.013872258596254275|13.872258596254275|0.022558212828849587|13.872258596254275
42|2020-02|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|104649.09999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|22.79908407241634|0.01351365032467259|13.51365032467259|0.04575912695773671|13.51365032467259
43|2020-02|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|104649.09999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|22.79908407241634|0.01351365032467259|13.51365032467259|0.04575912695773671|13.51365032467259
44|2020-02|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|104649.09999999992|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|22.79908407241634|0.01351365032467259|13.51365032467259|0.04575912695773671|13.51365032467259
45|2020-05|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|104606.7999999999|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|37.12289836748291|0.013508187999542856|13.508187999542857|0.02287956347886836|13.508187999542857
46|2020-05|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|104606.7999999999|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|37.12289836748291|0.013508187999542856|13.508187999542857|0.02287956347886836|13.508187999542857
47|2020-05|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|104606.7999999999|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|37.12289836748291|0.013508187999542856|13.508187999542857|0.02287956347886836|13.508187999542857
