,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
1466,PARQUE ECOLOGICO RECICLANTE,"META - SAN CARLOS DE GUAROA , META - CUMARAL , CUNDINAMARCA - QUETAME , CUNDINAMARCA - PARATEBUENO , META - EL DORADO , META - CABUYARO , META - CASTILLA LA NUEVA , META - PUERTO LOPEZ , CUNDINAMARCA - GUAYABETAL , META - GUAMAL , META - VILLAVICENCIO , META - CUBARRAL , META - SAN JUAN DE ARAMA , META - BARRANCA DE UPIA , BOYACA - ALMEIDA , CUNDINAMARCA - UBALA , META - ACACIAS , CUNDINAMARCA - MEDINA , META - PUERTO GAITAN , META - RESTREPO , BOYACA - GARAGOA , BOYACA - SAN LUIS DE GACENO , META - EL CASTILLO , VICHADA - CUMARIBO , BOYACA - CHIVOR , META - VISTAHERMOSA , META - PUERTO LLERAS , CASANARE - AGUAZUL"
1837,VIA AL TOBAL,SANTANDER - SAN MIGUEL
1838,RELLENO SANITARIO,ANTIOQUIA - BELMIRA
1839,PTRSMALAGA,"SANTANDER - MALAGA , SANTANDER - CONCEPCION , SANTANDER - SAN JOSE DE MIRANDA , SANTANDER - CAPITANEJO , SANTANDER - MOLAGAVITA , SANTANDER - CERRITO , SANTANDER - MACARAVITA , SANTANDER - GUACA , SANTANDER - ENCISO , SANTANDER - SAN MIGUEL , SANTANDER - SAN ANDRES , SANTANDER - CARCASI"
1895,LOS MOLINOS,ANTIOQUIA - ABEJORRAL
1900,GRANJA EXPERIMENTAL DE RESIDUOS SOLIDOS,ANTIOQUIA - SAN VICENTE FERRER
1904,RELLENO SANITARIO PACANDE,TOLIMA - NATAGAIMA
1906,LAS TAPIAS,TOLIMA - CHAPARRAL
1910,RELLENO SANITARIO CERRO DE LA VIRGEN,ANTIOQUIA - CONCEPCION
1914,RELLENO SANITARIO LOMA GRANDE,"CORDOBA - MONTERIA , CORDOBA - TIERRALTA , CORDOBA - VALENCIA , CORDOBA - MONTELIBANO , CORDOBA - CANALETE , CORDOBA - CERETE , CORDOBA - CIENAGA DE ORO , CORDOBA - SAN CARLOS , CORDOBA - PUERTO ESCONDIDO , CORDOBA - SAN PELAYO , CORDOBA - MONITOS , CORDOBA - COTORRA , CORDOBA - AYAPEL , CORDOBA - BUENAVISTA , CORDOBA - LA APARTADA , CORDOBA - PLANETA RICA , CORDOBA - PUEBLO NUEVO , CORDOBA - PUERTO LIBERTADOR , CORDOBA - SAN BERNARDO DEL VIENTO , CORDOBA - LOS CORDOBAS , SUCRE - CAIMITO , CORDOBA - LORICA , CORDOBA - MOMIL , CORDOBA - SAHAGUN , CORDOBA - PURISIMA DE LA CONCEPCION , CORDOBA - SAN ANTERO"
