COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
95001;LLANO ;SAN JOSÉ DEL GUAVIARE;NO TRASLADO
68406;CENTRO ORIENTE;LEBRIJA;NO TRASLADO
25875;CENTRO ORIENTE;VILLETA;NO TRASLADO
25743;CENTRO ORIENTE;SILVANIA;NO TRASLADO
73585;CENTRO SUR;PURIFICACIÓN;NO TRASLADO
73671;CENTRO SUR;SALDAÑA;NO TRASLADO
25535;CENTRO ORIENTE;PASCA;NO TRASLADO
25781;CENTRO ORIENTE;SUTATAUSA;NO TRASLADO
25377;CENTRO ORIENTE;LA CALERA;NO TRASLADO
27001;PACÍFICO;QUIBDÓ;NO TRASLADO
15806;CENTRO ORIENTE;TIBASOSA;NO TRASLADO
15516;CENTRO ORIENTE;PAIPA;NO TRASLADO
15757;CENTRO ORIENTE;SOCHA;NO TRASLADO
41319;CENTRO SUR;GUADALUPE;NO TRASLADO
05318;EJE CAFETERO;GUARNE;NO TRASLADO
68432;CENTRO ORIENTE;MÁLAGA;NO TRASLADO
25407;CENTRO ORIENTE;LENGUAZAQUE;NO TRASLADO
08638;CARIBE;SABANALARGA;NO TRASLADO
15776;CENTRO ORIENTE;SUTAMARCHÁN;NO TRASLADO
05642;EJE CAFETERO;SALGAR;NO TRASLADO
05034;EJE CAFETERO;ANDES;NO TRASLADO
15087;CENTRO ORIENTE;BELÉN;NO TRASLADO
50680;LLANO ;SAN CARLOS DE GUAROA;NO TRASLADO
05142;EJE CAFETERO;CARACOLÍ;NO TRASLADO
63690;EJE CAFETERO;SALENTO;NO TRASLADO
76306;PACÍFICO;GINEBRA;NO TRASLADO
50223;LLANO ;CUBARRAL;NO TRASLADO
15861;CENTRO ORIENTE;VENTAQUEMADA;NO TRASLADO
76895;PACÍFICO;ZARZAL;NO TRASLADO
05591;EJE CAFETERO;PUERTO TRIUNFO;NO TRASLADO
17380;EJE CAFETERO;LA DORADA;NO TRASLADO
76122;PACÍFICO;CAICEDONIA;NO TRASLADO
13836;CARIBE;TURBACO;NO TRASLADO
05847;EJE CAFETERO;URRAO;NO TRASLADO
05887;EJE CAFETERO;YARUMAL;NO TRASLADO
25599;CENTRO ORIENTE;APULO;NO TRASLADO
68549;CENTRO ORIENTE;PINCHOTE;NO TRASLADO
25035;CENTRO ORIENTE;ANAPOIMA;NO TRASLADO
25772;CENTRO ORIENTE;SUESCA;NO TRASLADO
73504;CENTRO SUR;ORTEGA;NO TRASLADO
63130;EJE CAFETERO;CALARCÁ;NO TRASLADO
63190;EJE CAFETERO;CIRCASIA;NO TRASLADO
63594;EJE CAFETERO;QUIMBAYA;NO TRASLADO
18753;CENTRO SUR;SAN VICENTE DEL CAGUÁN;NO TRASLADO
25260;CENTRO ORIENTE;EL ROSAL;NO TRASLADO
15469;CENTRO ORIENTE;MONIQUIRÁ;NO TRASLADO
05893;EJE CAFETERO;YONDÓ;NO TRASLADO
25001;CENTRO ORIENTE;AGUA DE DIOS;NO TRASLADO
25572;CENTRO ORIENTE;PUERTO SALGAR;NO TRASLADO
25815;CENTRO ORIENTE;TOCAIMA;NO TRASLADO
73349;CENTRO SUR;HONDA;NO TRASLADO
73563;CENTRO SUR;PRADO;NO TRASLADO
05002;EJE CAFETERO;ABEJORRAL;SIN APROVECHAMIENTO
05004;EJE CAFETERO;ABRIAQUÍ;SIN APROVECHAMIENTO
05021;EJE CAFETERO;ALEJANDRÍA;SIN APROVECHAMIENTO
05030;EJE CAFETERO;AMAGÁ;SIN APROVECHAMIENTO
05031;EJE CAFETERO;AMALFI;SIN APROVECHAMIENTO
05036;EJE CAFETERO;ANGELÓPOLIS;SIN APROVECHAMIENTO
05038;EJE CAFETERO;ANGOSTURA;SIN APROVECHAMIENTO
05040;EJE CAFETERO;ANORÍ;SIN APROVECHAMIENTO
05042;EJE CAFETERO;SANTA FÉ DE ANTIOQUIA;SIN APROVECHAMIENTO
05044;EJE CAFETERO;ANZÁ;SIN APROVECHAMIENTO
05051;EJE CAFETERO;ARBOLETES;SIN APROVECHAMIENTO
05055;EJE CAFETERO;ARGELIA;SIN APROVECHAMIENTO
05059;EJE CAFETERO;ARMENIA;SIN APROVECHAMIENTO
05086;EJE CAFETERO;BELMIRA;SIN APROVECHAMIENTO
05091;EJE CAFETERO;BETANIA;SIN APROVECHAMIENTO
05093;EJE CAFETERO;BETULIA;SIN APROVECHAMIENTO
05101;EJE CAFETERO;CIUDAD BOLÍVAR;SIN APROVECHAMIENTO
05107;EJE CAFETERO;BRICEÑO;SIN APROVECHAMIENTO
05113;EJE CAFETERO;BURITICÁ;SIN APROVECHAMIENTO
05120;EJE CAFETERO;CÁCERES;SIN APROVECHAMIENTO
05125;EJE CAFETERO;CAICEDO;SIN APROVECHAMIENTO
05134;EJE CAFETERO;CAMPAMENTO;SIN APROVECHAMIENTO
05138;EJE CAFETERO;CAÑASGORDAS;SIN APROVECHAMIENTO
05145;EJE CAFETERO;CARAMANTA;SIN APROVECHAMIENTO
05147;EJE CAFETERO;CAREPA;SIN APROVECHAMIENTO
05150;EJE CAFETERO;CAROLINA;SIN APROVECHAMIENTO
05172;EJE CAFETERO;CHIGORODÓ;SIN APROVECHAMIENTO
