DP;DPNOM;DPMP;MPIO;AÑO;ÁREA GEOGRÁFICA;Total
05;Antioquia;05021;Alejandría;2030;Centros Poblados y Rural Disperso;2.110
05;Antioquia;05021;Alejandría;2030;Total;5.298
05;Antioquia;05021;Alejandría;2031;Cabecera Municipal;3.231
05;Antioquia;05021;Alejandría;2031;Centros Poblados y Rural Disperso;2.130
05;Antioquia;05021;Alejandría;2031;Total;5.361
05;Antioquia;05021;Alejandría;2032;Cabecera Municipal;3.256
05;Antioquia;05021;Alejandría;2032;Centros Poblados y Rural Disperso;2.151
05;Antioquia;05021;Alejandría;2032;Total;5.407
05;Antioquia;05021;Alejandría;2033;Cabecera Municipal;3.282
05;Antioquia;05021;Alejandría;2033;Centros Poblados y Rural Disperso;2.174
05;Antioquia;05021;Alejandría;2033;Total;5.456
05;Antioquia;05021;Alejandría;2034;Cabecera Municipal;3.318
05;Antioquia;05021;Alejandría;2034;Centros Poblados y Rural Disperso;2.199
05;Antioquia;05021;Alejandría;2034;Total;5.517
05;Antioquia;05021;Alejandría;2035;Cabecera Municipal;3.337
05;Antioquia;05021;Alejandría;2035;Centros Poblados y Rural Disperso;2.228
05;Antioquia;05021;Alejandría;2035;Total;5.565
05;Antioquia;05030;Amagá;2018;Cabecera Municipal;14.184
05;Antioquia;05030;Amagá;2018;Centros Poblados y Rural Disperso;16.043
05;Antioquia;05030;Amagá;2018;Total;30.227
05;Antioquia;05030;Amagá;2019;Cabecera Municipal;14.732
05;Antioquia;05030;Amagá;2019;Centros Poblados y Rural Disperso;16.045
05;Antioquia;05030;Amagá;2019;Total;30.777
05;Antioquia;05030;Amagá;2020;Cabecera Municipal;15.246
05;Antioquia;05030;Amagá;2020;Centros Poblados y Rural Disperso;16.037
05;Antioquia;05030;Amagá;2020;Total;31.283
05;Antioquia;05030;Amagá;2021;Cabecera Municipal;15.912
05;Antioquia;05030;Amagá;2021;Centros Poblados y Rural Disperso;15.856
05;Antioquia;05030;Amagá;2021;Total;31.768
05;Antioquia;05030;Amagá;2022;Cabecera Municipal;16.452
05;Antioquia;05030;Amagá;2022;Centros Poblados y Rural Disperso;15.807
05;Antioquia;05030;Amagá;2022;Total;32.259
05;Antioquia;05030;Amagá;2023;Cabecera Municipal;16.957
05;Antioquia;05030;Amagá;2023;Centros Poblados y Rural Disperso;15.805
05;Antioquia;05030;Amagá;2023;Total;32.762
05;Antioquia;05030;Amagá;2024;Cabecera Municipal;17.286
05;Antioquia;05030;Amagá;2024;Centros Poblados y Rural Disperso;15.827
05;Antioquia;05030;Amagá;2024;Total;33.113
05;Antioquia;05030;Amagá;2025;Cabecera Municipal;17.581
05;Antioquia;05030;Amagá;2025;Centros Poblados y Rural Disperso;15.862
05;Antioquia;05030;Amagá;2025;Total;33.443
05;Antioquia;05030;Amagá;2026;Cabecera Municipal;17.852
05;Antioquia;05030;Amagá;2026;Centros Poblados y Rural Disperso;15.917
05;Antioquia;05030;Amagá;2026;Total;33.769
05;Antioquia;05030;Amagá;2027;Cabecera Municipal;18.111
05;Antioquia;05030;Amagá;2027;Centros Poblados y Rural Disperso;16.008
05;Antioquia;05030;Amagá;2027;Total;34.119
05;Antioquia;05030;Amagá;2028;Cabecera Municipal;18.343
05;Antioquia;05030;Amagá;2028;Centros Poblados y Rural Disperso;16.121
05;Antioquia;05030;Amagá;2028;Total;34.464
05;Antioquia;05030;Amagá;2029;Cabecera Municipal;18.573
05;Antioquia;05030;Amagá;2029;Centros Poblados y Rural Disperso;16.250
05;Antioquia;05030;Amagá;2029;Total;34.823
05;Antioquia;05030;Amagá;2030;Cabecera Municipal;18.762
05;Antioquia;05030;Amagá;2030;Centros Poblados y Rural Disperso;16.416
05;Antioquia;05030;Amagá;2030;Total;35.178
05;Antioquia;05030;Amagá;2031;Cabecera Municipal;18.949
05;Antioquia;05030;Amagá;2031;Centros Poblados y Rural Disperso;16.608
05;Antioquia;05030;Amagá;2031;Total;35.557
05;Antioquia;05030;Amagá;2032;Cabecera Municipal;19.110
05;Antioquia;05030;Amagá;2032;Centros Poblados y Rural Disperso;16.797
05;Antioquia;05030;Amagá;2032;Total;35.907
05;Antioquia;05030;Amagá;2033;Cabecera Municipal;19.268
05;Antioquia;05030;Amagá;2033;Centros Poblados y Rural Disperso;16.974
05;Antioquia;05030;Amagá;2033;Total;36.242
05;Antioquia;05030;Amagá;2034;Cabecera Municipal;19.440
05;Antioquia;05030;Amagá;2034;Centros Poblados y Rural Disperso;17.140
05;Antioquia;05030;Amagá;2034;Total;36.580
05;Antioquia;05030;Amagá;2035;Cabecera Municipal;19.599
05;Antioquia;05030;Amagá;2035;Centros Poblados y Rural Disperso;17.304
05;Antioquia;05030;Amagá;2035;Total;36.903
05;Antioquia;05031;Amalfi;2018;Cabecera Municipal;14.508
05;Antioquia;05031;Amalfi;2018;Centros Poblados y Rural Disperso;11.454
05;Antioquia;05031;Amalfi;2018;Total;25.962
05;Antioquia;05031;Amalfi;2019;Cabecera Municipal;15.071
05;Antioquia;05031;Amalfi;2019;Centros Poblados y Rural Disperso;11.481
05;Antioquia;05031;Amalfi;2019;Total;26.552
05;Antioquia;05031;Amalfi;2020;Cabecera Municipal;15.599
05;Antioquia;05031;Amalfi;2020;Centros Poblados y Rural Disperso;11.472
05;Antioquia;05031;Amalfi;2020;Total;27.071
05;Antioquia;05031;Amalfi;2021;Cabecera Municipal;16.154
05;Antioquia;05031;Amalfi;2021;Centros Poblados y Rural Disperso;11.342
05;Antioquia;05031;Amalfi;2021;Total;27.496
05;Antioquia;05031;Amalfi;2022;Cabecera Municipal;16.614
05;Antioquia;05031;Amalfi;2022;Centros Poblados y Rural Disperso;11.307
05;Antioquia;05031;Amalfi;2022;Total;27.921
05;Antioquia;05031;Amalfi;2023;Cabecera Municipal;17.051
05;Antioquia;05031;Amalfi;2023;Centros Poblados y Rural Disperso;11.306
05;Antioquia;05031;Amalfi;2023;Total;28.357
05;Antioquia;05031;Amalfi;2024;Cabecera Municipal;17.377
05;Antioquia;05031;Amalfi;2024;Centros Poblados y Rural Disperso;11.314
05;Antioquia;05031;Amalfi;2024;Total;28.691
05;Antioquia;05031;Amalfi;2025;Cabecera Municipal;17.676
05;Antioquia;05031;Amalfi;2025;Centros Poblados y Rural Disperso;11.347
05;Antioquia;05031;Amalfi;2025;Total;29.023
05;Antioquia;05031;Amalfi;2026;Cabecera Municipal;17.956
05;Antioquia;05031;Amalfi;2026;Centros Poblados y Rural Disperso;11.386
05;Antioquia;05031;Amalfi;2026;Total;29.342
05;Antioquia;05031;Amalfi;2027;Cabecera Municipal;18.212
05;Antioquia;05031;Amalfi;2027;Centros Poblados y Rural Disperso;11.447
05;Antioquia;05031;Amalfi;2027;Total;29.659
05;Antioquia;05031;Amalfi;2028;Cabecera Municipal;18.455
05;Antioquia;05031;Amalfi;2028;Centros Poblados y Rural Disperso;11.527
05;Antioquia;05031;Amalfi;2028;Total;29.982
05;Antioquia;05031;Amalfi;2029;Cabecera Municipal;18.656
05;Antioquia;05031;Amalfi;2029;Centros Poblados y Rural Disperso;11.629
05;Antioquia;05031;Amalfi;2029;Total;30.285
05;Antioquia;05031;Amalfi;2030;Cabecera Municipal;18.865
05;Antioquia;05031;Amalfi;2030;Centros Poblados y Rural Disperso;11.754
05;Antioquia;05031;Amalfi;2030;Total;30.619
05;Antioquia;05031;Amalfi;2031;Cabecera Municipal;19.033
05;Antioquia;05031;Amalfi;2031;Centros Poblados y Rural Disperso;11.884
05;Antioquia;05031;Amalfi;2031;Total;30.917
05;Antioquia;05031;Amalfi;2032;Cabecera Municipal;19.211
05;Antioquia;05031;Amalfi;2032;Centros Poblados y Rural Disperso;11.995
05;Antioquia;05031;Amalfi;2032;Total;31.206
05;Antioquia;05031;Amalfi;2033;Cabecera Municipal;19.395
05;Antioquia;05031;Amalfi;2033;Centros Poblados y Rural Disperso;12.131
05;Antioquia;05031;Amalfi;2033;Total;31.526
05;Antioquia;05031;Amalfi;2034;Cabecera Municipal;19.551
05;Antioquia;05031;Amalfi;2034;Centros Poblados y Rural Disperso;12.240
05;Antioquia;05031;Amalfi;2034;Total;31.791
05;Antioquia;05031;Amalfi;2035;Cabecera Municipal;19.704
05;Antioquia;05031;Amalfi;2035;Centros Poblados y Rural Disperso;12.373
05;Antioquia;05031;Amalfi;2035;Total;32.077
05;Antioquia;05034;Andes;2018;Cabecera Municipal;20.250
05;Antioquia;05034;Andes;2018;Centros Poblados y Rural Disperso;23.019
05;Antioquia;05034;Andes;2018;Total;43.269
05;Antioquia;05034;Andes;2019;Cabecera Municipal;20.851
05;Antioquia;05034;Andes;2019;Centros Poblados y Rural Disperso;22.862
05;Antioquia;05034;Andes;2019;Total;43.713
05;Antioquia;05034;Andes;2020;Cabecera Municipal;21.456
05;Antioquia;05034;Andes;2020;Centros Poblados y Rural Disperso;22.743
05;Antioquia;05034;Andes;2020;Total;44.199
05;Antioquia;05034;Andes;2021;Cabecera Municipal;22.399
05;Antioquia;05034;Andes;2021;Centros Poblados y Rural Disperso;22.486
05;Antioquia;05034;Andes;2021;Total;44.885
05;Antioquia;05034;Andes;2022;Cabecera Municipal;23.160
05;Antioquia;05034;Andes;2022;Centros Poblados y Rural Disperso;22.417
05;Antioquia;05034;Andes;2022;Total;45.577
05;Antioquia;05034;Andes;2023;Cabecera Municipal;23.875
05;Antioquia;05034;Andes;2023;Centros Poblados y Rural Disperso;22.414
05;Antioquia;05034;Andes;2023;Total;46.289
05;Antioquia;05034;Andes;2024;Cabecera Municipal;24.341
05;Antioquia;05034;Andes;2024;Centros Poblados y Rural Disperso;22.441
05;Antioquia;05034;Andes;2024;Total;46.782
05;Antioquia;05034;Andes;2025;Cabecera Municipal;24.744
05;Antioquia;05034;Andes;2025;Centros Poblados y Rural Disperso;22.487
05;Antioquia;05034;Andes;2025;Total;47.231
05;Antioquia;05034;Andes;2026;Cabecera Municipal;25.137
05;Antioquia;05034;Andes;2026;Centros Poblados y Rural Disperso;22.569
05;Antioquia;05034;Andes;2026;Total;47.706
05;Antioquia;05034;Andes;2027;Cabecera Municipal;25.494
05;Antioquia;05034;Andes;2027;Centros Poblados y Rural Disperso;22.700
05;Antioquia;05034;Andes;2027;Total;48.194
05;Antioquia;05034;Andes;2028;Cabecera Municipal;25.835
05;Antioquia;05034;Andes;2028;Centros Poblados y Rural Disperso;22.863
05;Antioquia;05034;Andes;2028;Total;48.698
05;Antioquia;05034;Andes;2029;Cabecera Municipal;26.133
05;Antioquia;05034;Andes;2029;Centros Poblados y Rural Disperso;23.049
05;Antioquia;05034;Andes;2029;Total;49.182
05;Antioquia;05034;Andes;2030;Cabecera Municipal;26.412
05;Antioquia;05034;Andes;2030;Centros Poblados y Rural Disperso;23.282
05;Antioquia;05034;Andes;2030;Total;49.694
