|PERIODO_NUEVO|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total_x|Departamento|Municipio|REGION|Tasa_apro|Ton_percapita_apro|kg_percapita_apro
35|2018-11|BOGOTA, D.C.-BOGOTA, D.C.|178855.33|71219.57935000006|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|28.479298277110445|0.009607952138301373|9.607952138301373
36|2018-10|BOGOTA, D.C.-BOGOTA, D.C.|181105.83|69470.20709999997|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|27.724202163942667|0.009371951237938384|9.371951237938385
37|2021-11|BOGOTA, D.C.-BOGOTA, D.C.|166978.31|66656.26999999999|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|28.530138817635642|0.00850840555224314|8.50840555224314
38|2018-09|BOGOTA, D.C.-BOGOTA, D.C.|181462.32|66628.70530000003|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|26.856556064222943|0.008988615453811815|8.988615453811814
39|2018-08|BOGOTA, D.C.-BOGOTA, D.C.|183411.73|66504.00775999996|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|26.61057216967478|0.008971793001236005|8.971793001236005
40|2018-04|BOGOTA, D.C.-BOGOTA, D.C.|196087.56|65620.90451|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|25.07404742634627|0.008852657029967759|8.852657029967759
41|2018-07|BOGOTA, D.C.-BOGOTA, D.C.|182065.71|63727.318899999984|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|25.92722795483643|0.008597200874838751|8.597200874838752
42|2018-05|BOGOTA, D.C.-BOGOTA, D.C.|198958.44|63204.65530000002|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|24.1089064147924|0.008526690393043384|8.526690393043385
43|2018-06|BOGOTA, D.C.-BOGOTA, D.C.|196998.21|62866.28139000002|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|24.19194752377747|0.008481041705395948|8.481041705395949
44|2021-10|BOGOTA, D.C.-BOGOTA, D.C.|166978.32|62302.39000000003|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|27.172974996457413|0.007952650230713747|7.952650230713747
45|2018-02|BOGOTA, D.C.-BOGOTA, D.C.|366528.86|59947.63129999999|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|14.056491394699295|0.00808729815019522|8.08729815019522
46|2018-03|BOGOTA, D.C.-BOGOTA, D.C.|194104.48|58831.508600000016|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|23.259445571835087|0.007936726445336205|7.936726445336205
47|2017-12|BOGOTA, D.C.-BOGOTA, D.C.|188939.05|56695.01519999995|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|23.081088184506406|0.00772680194438148|7.726801944381481
48|2018-01|BOGOTA, D.C.-BOGOTA, D.C.|189355.05|54930.18349999999|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|22.486084284746585|0.007410414086026349|7.410414086026349
49|2017-11|BOGOTA, D.C.-BOGOTA, D.C.|188939.42|49583.13628|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|20.787608959630084|0.006757544247326284|6.757544247326284
50|2017-10|BOGOTA, D.C.-BOGOTA, D.C.|188939.42|47567.65345999999|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|20.112571165041714|0.0064828598413426775|6.482859841342678
51|2017-09|BOGOTA, D.C.-BOGOTA, D.C.|188939.42|43782.19772999999|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|18.813120223663717|0.0059669508748885335|5.966950874888534
52|2017-07|BOGOTA, D.C.-BOGOTA, D.C.|157614.84999999998|41298.21721|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|20.761942786996457|0.005628416253387247|5.628416253387247
53|2017-08|BOGOTA, D.C.-BOGOTA, D.C.|188939.42|40718.80449999999|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|17.730174736241587|0.005549449747453098|5.549449747453099
54|2017-05|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|40534.48203000001|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|17.394881614498036|0.005524328963649357|5.524328963649356
55|2017-06|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|37400.99369999999|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|16.26895143234865|0.005097274774925181|5.097274774925181
