|AÑO|REGION|AUX_LOC|Departamento|Municipio|Total|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Ton_aprov_per_capita|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro
14|2019|CARIBE|ATLANTICO-GALAPA|ATLANTICO|GALAPA|64260|7584.0|336.134|0.5230843448490508|0.04244044355815192|0.0052308434484905075|5.230843448490507
15|2020|CARIBE|ATLANTICO-GALAPA|ATLANTICO|GALAPA|67021|9002.0|400.36999999999995|0.5973799256949314|0.04258181713759402|0.0059737992569493135|5.973799256949314
16|2017|CARIBE|ATLANTICO-MALAMBO|ATLANTICO|MALAMBO|124251|13688.65|133.93650000000002|0.10779510828886692|0.009689684343809317|0.0010779510828886692|1.0779510828886691
17|2018|CARIBE|ATLANTICO-MALAMBO|ATLANTICO|MALAMBO|128203|33716.388|528.51082|0.41224528287169565|0.015433271471409181|0.004122452828716957|4.122452828716956
18|2019|CARIBE|ATLANTICO-MALAMBO|ATLANTICO|MALAMBO|134468|34113.149999999994|599.4463999999999|0.4457911175893149|0.01726884365238666|0.004457911175893149|4.457911175893149
19|2020|CARIBE|ATLANTICO-MALAMBO|ATLANTICO|MALAMBO|139566|43761.39599999999|1152.1299999999999|0.825509078142241|0.025652183264346692|0.008255090781422409|8.255090781422409
20|2021|CARIBE|ATLANTICO-MALAMBO|ATLANTICO|MALAMBO|142095|39037.548|2539.8699999999994|1.7874450191773104|0.06108772795847975|0.017874450191773104|17.874450191773104
21|2017|CARIBE|ATLANTICO-PALMAR DE VARELA|ATLANTICO|PALMAR DE VARELA|28113|1607.106|0.8256800000000001|0.002937004232917156|0.0005135044046150021|2.9370042329171562e-05|0.02937004232917156
22|2018|CARIBE|ATLANTICO-PALMAR DE VARELA|ATLANTICO|PALMAR DE VARELA|28932|6763.829999999999|2.2307900000000003|0.007710459007327528|0.000329702920094515|7.710459007327527e-05|0.07710459007327528
23|2019|CARIBE|ATLANTICO-PALMAR DE VARELA|ATLANTICO|PALMAR DE VARELA|30094|7099.469999999999|1.8916000000000002|0.00628563833322257|0.0002663714519198685|6.28563833322257e-05|0.0628563833322257
24|2020|CARIBE|ATLANTICO-PALMAR DE VARELA|ATLANTICO|PALMAR DE VARELA|31038|8094.019|3.01|0.009697789806044202|0.00037174128930500305|9.697789806044203e-05|0.09697789806044203
25|2021|CARIBE|ATLANTICO-PALMAR DE VARELA|ATLANTICO|PALMAR DE VARELA|31594|3973.8120000000004|1.6199999999999999|0.005127555865037665|0.0004075028827055776|5.127555865037665e-05|0.05127555865037665
26|2018|CARIBE|ATLANTICO-PUERTO COLOMBIA|ATLANTICO|PUERTO COLOMBIA|49264|2512.0|43.125|0.08753856771679117|0.01687784354972849|0.0008753856771679117|0.8753856771679117
27|2019|CARIBE|ATLANTICO-PUERTO COLOMBIA|ATLANTICO|PUERTO COLOMBIA|51695|13090.0|592.0309999999998|1.1452384176419381|0.04327069570299905|0.01145238417641938|11.45238417641938
28|2020|CARIBE|ATLANTICO-PUERTO COLOMBIA|ATLANTICO|PUERTO COLOMBIA|53649|18812.0|1338.5899999999997|2.4950884452645896|0.06642932043180869|0.024950884452645896|24.950884452645894
29|2021|CARIBE|ATLANTICO-PUERTO COLOMBIA|ATLANTICO|PUERTO COLOMBIA|54621|24798.5|2620.54|4.7976785485436|0.09557373270544847|0.047976785485436005|47.976785485436004
30|2017|CARIBE|ATLANTICO-SABANAGRANDE|ATLANTICO|SABANAGRANDE|31373|1957.005|0.4075|0.001298887578491059|0.00020818299668567557|1.298887578491059e-05|0.01298887578491059
31|2018|CARIBE|ATLANTICO-SABANAGRANDE|ATLANTICO|SABANAGRANDE|32334|8296.956|1.56835|0.004850467000680398|0.0001889914319525977|4.850467000680398e-05|0.04850467000680398
32|2019|CARIBE|ATLANTICO-SABANAGRANDE|ATLANTICO|SABANAGRANDE|33858|8503.392|4.9374|0.014582668793195109|0.0005803019333031464|0.0001458266879319511|0.14582668793195108
33|2020|CARIBE|ATLANTICO-SABANAGRANDE|ATLANTICO|SABANAGRANDE|35084|10269.554|102.51|0.29218447155398475|0.009883278776528953|0.0029218447155398473|2.921844715539847
34|2021|CARIBE|ATLANTICO-SABANAGRANDE|ATLANTICO|SABANAGRANDE|35720|4780.7699999999995|3.0199999999999996|0.00845464725643897|0.0006312986146967153|8.454647256438969e-05|0.08454647256438969
35|2019|CARIBE|ATLANTICO-SABANALARGA|ATLANTICO|SABANALARGA|97005|1349.0|0.83|0.0008556259986598628|0.000614892245690198|8.556259986598628e-06|0.008556259986598628
36|2020|CARIBE|ATLANTICO-SABANALARGA|ATLANTICO|SABANALARGA|100049|20610.0|431.28|0.4310687762996131|0.020496851902545854|0.004310687762996131|4.310687762996131
37|2021|CARIBE|ATLANTICO-SABANALARGA|ATLANTICO|SABANALARGA|101843|25356.0|699.96|0.6872931865714875|0.02686371947147601|0.006872931865714875|6.872931865714875
38|2017|CARIBE|ATLANTICO-SANTO TOMAS|ATLANTICO|SANTO TOMAS|29001|1996.629|1.4115|0.004867073549187959|0.0007064421366834156|4.867073549187959e-05|0.04867073549187959
39|2018|CARIBE|ATLANTICO-SANTO TOMAS|ATLANTICO|SANTO TOMAS|29829|8348.838|2.5857|0.008668409936638841|0.0003096118809060065|8.668409936638842e-05|0.08668409936638842
40|2019|CARIBE|ATLANTICO-SANTO TOMAS|ATLANTICO|SANTO TOMAS|31027|8650.949999999999|1.6961100000000002|0.00546656138202211|0.00019602211605993907|5.4665613820221105e-05|0.05466561382022111
41|2020|CARIBE|ATLANTICO-SANTO TOMAS|ATLANTICO|SANTO TOMAS|32000|10836.568|2.4600000000000004|0.007687500000000002|0.00022695762018513105|7.687500000000001e-05|0.07687500000000001
42|2021|CARIBE|ATLANTICO-SANTO TOMAS|ATLANTICO|SANTO TOMAS|32574|4928.4|0.324|0.0009946583164487015|6.573709544295848e-05|9.946583164487014e-06|0.009946583164487014
43|2017|CARIBE|ATLANTICO-SOLEDAD|ATLANTICO|SOLEDAD|583036|33640.085999999996|46.131299999999996|0.00791225584698029|0.0013694413827817942|7.912255846980289e-05|0.07912255846980289
44|2018|CARIBE|ATLANTICO-SOLEDAD|ATLANTICO|SOLEDAD|603999|141656.16|400.97733000000005|0.06638708507795543|0.0028226482494049287|0.0006638708507795543|0.6638708507795543
45|2019|CARIBE|ATLANTICO-SOLEDAD|ATLANTICO|SOLEDAD|638065|142109.292|2865.4309499999995|0.4490813553478093|0.01976503828869707|0.004490813553478093|4.490813553478093
46|2020|CARIBE|ATLANTICO-SOLEDAD|ATLANTICO|SOLEDAD|665021|199643.03200000004|8422.85|1.2665539885206634|0.040481648980778114|0.012665539885206634|12.665539885206634
47|2021|CARIBE|ATLANTICO-SOLEDAD|ATLANTICO|SOLEDAD|677070|176023.47600000002|6951.810000000001|1.0267490805972797|0.037993163732505386|0.010267490805972796|10.267490805972797
48|2016|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|945316|134552.64|66.729|0.007058909401723868|0.000495686471387338|7.058909401723868e-05|0.07058909401723867
49|2017|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|956464|415113.72|733.8729999999999|0.07672771792770035|0.0017647643327828519|0.0007672771792770035|0.7672771792770036
50|2018|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|973045|477089.59|2334.79082|0.23994684932351537|0.004869987663135968|0.0023994684932351538|2.3994684932351538
51|2019|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|1003685|441300.01|5149.37095|0.5130465185790363|0.011534053287390945|0.005130465185790363|5.130465185790363
52|2020|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|1028736|492414.5|7646.0|0.7432421923603334|0.015290149891863085|0.007432421923603334|7.432421923603334
53|2021|CARIBE|BOLIVAR-CARTAGENA DE INDIAS|BOLIVAR|CARTAGENA DE INDIAS|1043926|435031.8899999999|5810.471|0.556597977251261|0.013180382635687772|0.005565979772512611|5.565979772512611
54|2021|CARIBE|BOLIVAR-EL CARMEN DE BOLIVAR|BOLIVAR|EL CARMEN DE BOLIVAR|73653|3740.8|193.27999999999997|0.26241972492634374|0.04912965674312672|0.0026241972492634376|2.6241972492634376
55|2021|CARIBE|BOLIVAR-MAGANGUE|BOLIVAR|MAGANGUE|142199|6404.64|121.56|0.08548583323370769|0.018626459501700835|0.0008548583323370769|0.8548583323370769
56|2020|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|113440|2585.04|1.72|0.0015162200282087448|0.000664924461488503|1.5162200282087447e-05|0.015162200282087448
57|2021|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|115116|31906.199999999993|44.489999999999995|0.03864797247993328|0.0013924581910437616|0.0003864797247993328|0.3864797247993328
58|2017|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|106119|28530.75|57.13625|0.053841677739141905|0.001998617508840829|0.000538416777391419|0.538416777391419
59|2018|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|109621|61616.0|196.79819999999998|0.17952600322930823|0.0031837775627507506|0.0017952600322930824|1.7952600322930825
60|2019|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|114569|46125.0|377.04|0.32909425760895183|0.008108031389590651|0.0032909425760895184|3.2909425760895186
61|2020|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|118652|29539.670000000006|43.52|0.03667869062468395|0.001471105719160104|0.00036678690624683953|0.3667869062468395
62|2021|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|121140|27378.91|279.90999999999997|0.2310632326234109|0.01012009912208836|0.002310632326234109|2.310632326234109
63|2018|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|40022|2569.5299999999997|22.564300000000003|0.0563797411423717|0.008705045954539541|0.000563797411423717|0.563797411423717
64|2019|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|41825|4892.22|11.709|0.027995218170950388|0.002387677309357456|0.00027995218170950387|0.27995218170950387
65|2020|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|43326|7999.25|89.51|0.20659650094631402|0.011065973029240577|0.0020659650094631402|2.0659650094631403
66|2021|CARIBE|CESAR-BOSCONIA|CESAR|BOSCONIA|44235|935.29|29.96|0.06772917373120832|0.03103859103859104|0.0006772917373120832|0.6772917373120833
67|2016|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|463923|89498.79000000001|74.91411699999999|0.016147963562918845|0.0008363405057152505|0.00016147963562918843|0.16147963562918843
68|2017|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|474596|141293.596|401.51932|0.08460233967416497|0.002833684979847194|0.0008460233967416497|0.8460233967416497
69|2018|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|490075|142977.9|2498.5794900000005|0.5098361454879357|0.01717514404224878|0.0050983614548793564|5.098361454879356
70|2019|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|513685|142203.852|1989.3489699999998|0.3872702083961961|0.013796413122237935|0.0038727020839619607|3.872702083961961
71|2020|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|532956|169508.44599999997|5079.16|0.9530167593572453|0.029092328581445816|0.009530167593572452|9.530167593572452
72|2021|CARIBE|CESAR-VALLEDUPAR|CESAR|VALLEDUPAR|544134|155237.646|3114.5800000000004|0.5723920945943463|0.019668684670084778|0.005723920945943463|5.723920945943463
73|2017|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|104390|2883.504|99.25|0.09507615671999234|0.033274618020795545|0.0009507615671999234|0.9507615671999233
74|2018|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|105815|16690.890000000003|858.8599999999999|0.8116618626848744|0.04893858886878729|0.008116618626848744|8.116618626848744
75|2019|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|107234|16595.219|1530.851|1.4275798720555049|0.08445575902553616|0.014275798720555049|14.275798720555049
76|2020|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|108409|18818.784000000003|1823.24|1.6818160853803652|0.08832660983244664|0.01681816085380365|16.81816085380365
77|2021|CARIBE|CORDOBA-CERETE|CORDOBA|CERETE|109299|18259.157999999996|1492.3|1.3653372857940145|0.07555391607039846|0.013653372857940145|13.653372857940145
78|2021|CARIBE|CORDOBA-CHINU|CORDOBA|CHINU|49092|1549.1399999999999|62.39|0.12708791656481708|0.03871476174815238|0.001270879165648171|1.2708791656481708
79|2019|CARIBE|CORDOBA-LORICA|CORDOBA|LORICA|114666|10092.128|478.00600000000003|0.4168681213262868|0.045222321684852816|0.004168681213262868|4.168681213262868
80|2020|CARIBE|CORDOBA-LORICA|CORDOBA|LORICA|115461|11017.686|1020.5300000000001|0.8838742086072354|0.0847741891323432|0.008838742086072354|8.838742086072354
81|2021|CARIBE|CORDOBA-LORICA|CORDOBA|LORICA|116404|9622.135|1002.2600000000001|0.8610185217002853|0.09433572452831432|0.008610185217002853|8.610185217002853
82|2016|CARIBE|CORDOBA-MONTERIA|CORDOBA|MONTERIA|478806|79535.1|1521.009|0.31766707184120496|0.01876489037982319|0.00317667071841205|3.17667071841205
83|2017|CARIBE|CORDOBA-MONTERIA|CORDOBA|MONTERIA|484400|113946.11999999998|4641.487999999999|0.9581932287365811|0.0391397387828246|0.009581932287365811|9.581932287365811
84|2018|CARIBE|CORDOBA-MONTERIA|CORDOBA|MONTERIA|490935|117068.58000000002|8442.7026|1.7197190259402977|0.06726648334004037|0.017197190259402976|17.197190259402976
